"chromosome"	"V1"	"V2"
"1"	"1"	190	255
"5"	"1"	336	2798
"9"	"1"	2800	3732
"13"	"1"	3733	5019
"17"	"1"	5232	5528
"21"	"1"	5681	6457
"25"	"1"	6527	7957
"29"	"1"	8236	9189
"33"	"1"	9304	9891
"37"	"1"	9926	10492
"41"	"1"	10641	11354
"45"	"1"	10828	11313
"49"	"1"	11380	11784
"53"	"1"	12161	14077
"57"	"1"	14088	14165
"60"	"1"	14166	15296
"64"	"1"	15386	16728
"65"	"1"	15443	16555
"69"	"1"	16749	16901
"73"	"1"	16749	16958
"77"	"1"	16899	17051
"80"	"1"	17488	18654
"84"	"1"	18714	19619
"88"	"1"	19658	20617
"92"	"1"	20630	21775
"96"	"1"	22208	22912
"100"	"1"	23291	24058
"101"	"1"	23346	23621
"105"	"1"	23540	24043
"109"	"1"	24054	24404
"113"	"1"	24701	24865
"117"	"1"	24887	25150
"121"	"1"	25253	25471
"125"	"1"	25479	26420
"129"	"1"	26463	29279
"133"	"1"	29279	29773
"137"	"1"	29898	30347
"141"	"1"	30349	31299
"145"	"1"	31365	32279
"149"	"1"	32446	33267
"153"	"1"	33722	34870
"157"	"1"	34888	38109
"161"	"1"	38371	38766
"165"	"1"	38975	39565
"169"	"1"	39571	40464
"173"	"1"	40465	42033
"177"	"1"	43437	44579
"181"	"1"	44610	46124
"185"	"1"	46598	47368
"189"	"1"	47383	48324
"193"	"1"	48375	49661
"197"	"1"	49658	49945
"201"	"1"	50002	51333
"205"	"1"	51441	51971
"209"	"1"	51964	53826
"213"	"1"	54018	54497
"217"	"1"	54575	55417
"221"	"1"	55424	55801
"225"	"1"	55804	56625
"229"	"1"	56622	57611
"233"	"1"	57611	58897
"237"	"1"	58950	61304
"241"	"1"	61559	62374
"245"	"1"	62491	63150
"249"	"1"	63162	66068
"253"	"1"	66233	68584
"257"	"1"	68659	69354
"261"	"1"	69639	71141
"265"	"1"	71152	72852
"269"	"1"	73191	74069
"273"	"1"	74155	74919
"277"	"1"	75033	75731
"281"	"1"	75715	77325
"285"	"1"	77301	78284
"289"	"1"	78448	80103
"293"	"1"	80171	80397
"296"	"1"	80425	81603
"300"	"1"	81652	82257
"304"	"1"	82268	83668
"308"	"1"	83671	84762
"312"	"1"	84762	86333
"316"	"1"	86426	86512
"320"	"1"	87172	88116
"324"	"1"	88434	90158
"328"	"1"	90161	90652
"332"	"1"	90832	91836
"336"	"1"	92438	92896
"340"	"1"	92898	93839
"344"	"1"	93836	94201
"348"	"1"	94217	95983
"352"	"1"	95970	97457
"356"	"1"	97454	98812
"360"	"1"	98806	99888
"364"	"1"	99891	101207
"368"	"1"	101207	102451
"372"	"1"	102448	103515
"376"	"1"	103569	105044
"380"	"1"	105037	105957
"384"	"1"	105959	106789
"388"	"1"	106786	108048
"392"	"1"	108109	109260
"396"	"1"	109361	110278
"400"	"1"	110509	111021
"404"	"1"	111083	113788
"408"	"1"	113764	113833
"411"	"1"	113848	114237
"415"	"1"	114453	114650
"419"	"1"	114660	115403
"423"	"1"	115403	116023
"427"	"1"	116248	117291
"431"	"1"	117326	118528
"435"	"1"	118518	119903
"439"	"1"	119913	120353
"443"	"1"	120556	121449
"447"	"1"	121537	122088
"451"	"1"	122085	122939
"455"	"1"	122982	124355
"459"	"1"	124896	125660
"463"	"1"	125705	125818
"466"	"1"	125821	128484
"470"	"1"	128499	130391
"474"	"1"	130716	132140
"478"	"1"	132211	134064
"482"	"1"	134419	137016
"486"	"1"	137191	137553
"490"	"1"	137591	138385
"494"	"1"	138401	139267
"498"	"1"	139373	139720
"502"	"1"	139886	141436
"506"	"1"	141638	144028
"510"	"1"	144234	144770
"514"	"1"	144811	145473
"518"	"1"	145582	146508
"522"	"1"	146505	147275
"526"	"1"	147380	147820
"530"	"1"	147884	149113
"534"	"1"	149117	149497
"538"	"1"	149771	150673
"542"	"1"	150747	151598
"546"	"1"	151610	152404
"550"	"1"	152517	153863
"554"	"1"	153844	154440
"558"	"1"	154467	155069
"562"	"1"	155084	155653
"566"	"1"	155670	158270
"570"	"1"	158305	159045
"574"	"1"	159150	159734
"578"	"1"	160104	160583
"582"	"1"	160580	161944
"586"	"1"	162037	162963
"590"	"1"	163000	163455
"594"	"1"	163633	164337
"598"	"1"	164352	164882
"602"	"1"	164956	167385
"606"	"1"	167581	170106
"610"	"1"	170326	172569
"614"	"1"	172620	173417
"618"	"1"	173417	174307
"622"	"1"	174304	176286
"626"	"1"	176444	177724
"630"	"1"	177949	179370
"634"	"1"	179452	179796
"638"	"1"	179843	180466
"642"	"1"	180504	181304
"646"	"1"	181297	181995
"650"	"1"	182079	183596
"654"	"1"	183726	185150
"658"	"1"	185305	186462
"662"	"1"	186551	186937
"666"	"1"	187099	187911
"670"	"1"	187965	188789
"674"	"1"	188820	191492
"678"	"1"	191554	192348
"682"	"1"	192602	192688
"685"	"1"	192716	193441
"689"	"1"	193699	194550
"693"	"1"	194697	195422
"697"	"1"	195714	196271
"701"	"1"	196363	197559
"705"	"1"	197745	198506
"709"	"1"	198519	199376
"713"	"1"	199388	200740
"717"	"1"	200770	203202
"721"	"1"	203324	203809
"725"	"1"	203813	204838
"729"	"1"	204943	205398
"733"	"1"	205402	206190
"737"	"1"	206190	207338
"741"	"1"	207335	207931
"745"	"1"	207968	211450
"749"	"1"	211463	212422
"753"	"1"	212521	214662
"757"	"1"	214719	215108
"761"	"1"	215173	216471
"765"	"1"	216520	216774
"769"	"1"	216767	216967
"773"	"1"	217133	217678
"777"	"1"	217675	218097
"781"	"1"	218111	218821
"785"	"1"	219021	219845
"789"	"1"	219898	221616
"793"	"1"	221727	222434
"797"	"1"	222431	222835
"801"	"1"	222953	223768
"805"	"1"	223808	224461
"809"	"1"	224454	225485
"813"	"1"	225673	226245
"817"	"1"	226609	228150
"820"	"1"	226614	228148
"823"	"1"	228219	228292
"826"	"1"	228219	228295
"829"	"1"	228338	228410
"832"	"1"	228338	228413
"835"	"1"	228481	228580
"838"	"1"	228588	231493
"844"	"1"	230872	230979
"847"	"1"	231680	231799
"850"	"1"	231682	231797
"853"	"1"	231852	231925
"856"	"1"	231852	231928
"859"	"1"	232091	232894
"863"	"1"	232891	233805
"867"	"1"	234046	234846
"871"	"1"	234850	235473
"875"	"1"	235521	236879
"879"	"1"	236951	237706
"883"	"1"	237740	238462
"887"	"1"	238459	238926
"891"	"1"	238991	239722
"895"	"1"	239855	239928
"898"	"1"	239855	239931
"901"	"1"	240261	241046
"905"	"1"	241257	242024
"906"	"1"	241312	241587
"910"	"1"	241506	242009
"914"	"1"	242011	242382
"918"	"1"	242813	243949
"922"	"1"	243990	244760
"926"	"1"	244914	245387
"930"	"1"	245430	247874
"934"	"1"	248114	248692
"938"	"1"	248898	249665
"942"	"1"	249636	250376
"946"	"1"	250532	250810
"950"	"1"	250813	251073
"954"	"1"	251283	252032
"958"	"1"	252208	252705
"962"	"1"	255461	256516
"966"	"1"	256568	256861
"970"	"1"	256864	257262
"974"	"1"	257272	257724
"978"	"1"	257958	258224
"982"	"1"	258193	258693
"986"	"1"	258750	260207
"990"	"1"	260468	260926
"994"	"1"	261018	262262
"998"	"1"	262320	262721
"1002"	"1"	262792	263559
"1003"	"1"	262847	263122
"1007"	"1"	263041	263544
"1011"	"1"	263555	264592
"1015"	"1"	264880	265983
"1019"	"1"	265995	267248
"1023"	"1"	267363	267435
"1026"	"1"	267363	267438
"1029"	"1"	267565	267975
"1033"	"1"	267954	268910
"1037"	"1"	268920	271118
"1041"	"1"	271115	272071
"1045"	"1"	272068	272757
